Subject;Author;Date;Time;HTML Article
LSD myös liigassa ensi kaudella;NKL;2001-03-16;10:06:11;<p>KCK:lle NKL:n jumbofinaalin hävinnyt LSD kohtasi liigakarsinnassa divarin voittajan kL:n ja osoitti että liigajoukkueet hoitavat divarijoukkueet rutiinilla. LSD varmisti liigapaikkansa otteluvoitoin 2-0.</p><p><br></p><p>Ensimmäisessä ottelussa LSD voitti kL:n tuloksella 27-38. Toisessa ottelussa kL pistikin jo vähän kovemmin hanttiin. Ensimmäisen erän tulos oli niukasti LSD:n eduksi 6-8. kL:n toiveet ratkaisevaan kolmanteen otteluun pääsystä murskasi kuitenkin repsahdus toisessa erässä LSD:n kuitenkin jatkaessa liigatasoista peliään. Lopputulos 35-14 LSD:n hyväksi osoittaa että LSD on liigapaikkansa ansainnut. LSD:n valmennusjohto nauttinee tämän ottelun jälkeen joukkueen luottamusta.</p>
PKMM ja TPNMP välieriin.;Marko Parviainen, Tero Turtiainen;2001-03-16;10:10:04;<p>Illan toisessa välieräottelussa joissakin piireissä 'vuoden treenaajiksi' kutsuttu luolamiesnelikko yritti lähteä murtamaan jo kirouksen asteelle luiskahtanutta tilannetta. LMTVO oli pelannut aikaisemmin NKL:n historiassa PKMM:ä vastaan viidesti ja joka kerta on omissa soinut aikamiesten malliin. Tämän päivän ottelu ei juurikaan muutosta tuonut samaan lastenlapsille veisattavaan virteen. Vaikka Onni S. Varis intoutuikin henkilökohtaisella tasollaan suorastaan huimaavaan tulokseen, ei loppuosa joukkueesta kyennyt vastaamaan Metallimiesten prässiin. Laakkosen murhaavat aloitukset, sekä professori Rouvisen kliiniset neljännen paikan puhdistukset olivat jälleen liikaa luolien miehille. Hieman hämmästyttävänä yksityiskohtana mainittakoot, että molemmat joukkueet pelasivat erittäin tasaisesti: Molemmat erät päättyivät Metallimiesten eduksi 17-23. PKMM kiittää jo useamman vuoden aikaista pisteautomaattiaan kuluvasta kaudesta ja toivoo entistä enemmän keskinäisiä otteluita ensi kaudelle.</p>
Viime kauden uusinta Mestarien surma;Mikko Kuusio;2001-03-23;12:28:50;<p>Niin siinä sitten kävi, että Mestarit siirtyivät taistelemaan himmeimmästä mitalista jo kahden välieräottelun jälkeen. Vastaan asettunut Taiston Pentit NMP oli viime vuoden nöyryytyksestään sisuuntuneena ensimmäisessä ottelussa parempi lukemin 37-29 (16-11). Pentit eivät antaneen ensimmäisessä ottelussa Mestareille paljoakaan mahdollisuuksi, vaikka veteraani Akkanen heittikin ottelun selkeästi huonoimmat pisteet. Tahtipuikkoa heiluttelivat Penttien alotuspari Ruottinen-Alitalo. Tasaisesti heittänyt Mestarikvartetti Kuokka-Latva-Jääskeläinen-Ahonen ei kuitenkaan ollut playoffien vaatimalla tasolla.<br>     <br>Toiseen otteluun Mestarit olivat latautuneet hyvin ja Penttien hieman  haparoidessa ensimmäisen jakson aikana näytti ottelu jo ratkenneen. Tulos 29-18. Toisen jakson ensimmäinen kierros edettiin tasatahtiin, vaikka varsinkin kun Mestarien neliössä ei paljon lakaistavaa näkynyt ja Penttien kyykät olivat sikin sokin ympäri neliöta. Kuten niin monta kertaa tällä kaudella sortuivat Mestarit koko rintamalla luokattomaan esitykseen toisella puoliskolla. Tappio tuli katkerimmalla tavalla eli yhden pisteen erolla, toisen jakson päättyessä lukemin 6-18. Lopputulos siis 35-36. <br>     <br>Ottelun ratkaisijaksi nousi Penttien ankkuri Mikko Ollila, joka heitti viimeisellä kartullaan 7 pistettä eli yhden tornin ja yhden papin ulos (toim. huom. tilastoissa heitolla meni vain kaksi ulos).<br>     <br>Vilpittömät onnittelut TPNMP:n joukkueelle perinnefinaali paikasta, koska illan toisessa ottelussa PKMM peittosi toistamiseen SMS:n.</p>
PKMM yllätti SMS:n välierissä;Marko Parviainen;2001-03-23;13:13:26;<p>PKMM jatkoi torstain välieräottelussa tasaisen tappavaa pudotuspelitahtiaan. Etukäteen ajatellen ehkä hieman yllättävällä kokoonpanolla pelannut joukkue teki varsin kahtiajakoisen suorituksen.</p><p><br></p><p>Ensimmäisessä erässä Rouvinen-Heinilä akselilla oli havaittavissa lievää ottelutauosta johtuvaa orientaatio-ongelmaa. Rouvisella oli sektorimerkit vähän hakusessa ja mahtuipa Heinilänkin tilastoihin yksi hauki. Ensimmäinen erä kääntyikin lopulta 14 pisteen tappioksi.</p><p><br></p><p>Niin kuin on eroa yöllä ja päivällä, oli eroa PKMM:n esityksillä ensimmäisessä ja toisessa erässä. Suorastaan käsittämättömään heittovireeseen innostunut joukkue tuntui pitävän konaa pilkkanaan. Kämäräinen nousi ottelun avainpelaajaksi 23 kyykän panoksellaan.<br>Alkuvaiheen kangertelujen jälkeen myös Asko 'teräshermo' Rouvinen sekä Petri 'ei hermoja lainkaan' Heinilä osoittivat pelimiehen elkeitä ja ensimmäinen nollatulos oli lähempänä kuin koskaan. Aivan siihen eivät eväät vielä riittäneet, mutta erätulos 2 sivuaa silti liigan ennätystä. Normaalisti edes tuo huikea erä ei välttämättä olisi riittänyt takaamaan voittoa, mutta PKMM:n onneksi vastustajista Lapinlampi ja Tero '1020' Turtiainen pelasivat toisen erän hieman alakanttiin. Ankkuri Riialilta olisi vaadittu jo aikaisemmin samana iltana nähtyä 'Ollilamaista' viimeistä heittoa, jotta SMS olisi pelastunut, mutta valitettavasti joulupukilla oli antaa vain yksi lahja per päivä.</p><p><br></p><p>Ensi viikolla siis Finaalisarjassa kohtaavat 'The original two' joukkueet PKMM ja Pentit. Ja kävi ottelussa sitten niin tai näin, varmaa on se, että historian kirjat näkevät ensimmäisen NKL:n tuplamestarin.</p>
SMS taisteli Pronssia;NKL;2001-03-30;00:12:20;<p>SMS aloitti ottelusarjansa maanantaina selvällä häviöllä, ja joutui altavastaajan asemassa tiistain otteluun. Joukkueen henkinen valmentautuminen oli ilmiselvästi onnistunutta, sillä voimasuhteet kääntyivät täysin toisin päin ja SMS siirsi ratkaisun kolmanteen otteluun tuloksella 24-45 (15-21).</p><p><br></p><p>Torstain otteluun lähdettiin siis tasavoitoista 1-1, ja kyseessä oli äkkikuolema molemmille joukkueille. Ensimmäistä erää pelattiinkin kieli keskellä suuta ITKK99:n hallitessa niukasti lähinnä Mikko Kuokan (jälleen kerran) erinomaisella suorituksella. SMS esitti keskinkertaista mutta tasaista peliä, ja puoliajan koittaessa loistivat taululla lukemat 15-22.</p><p><br></p><p>Ottelun toisessa erässä SMS:n kapteeni Jarkko Sonnisen taktinen yllätysveto oli siirtää kokenut itsensä sivuun, ja päästää kentälle tuoreen raikas kauden rookie Timo Mustonen. Mustonen oli hyvinkin luottamuksen arvoinen, ja samalla koko muukin joukkue ryhdistäytyi selvästi. Tasaisella työllä vanhat konkarit sutivat kenttää heitto heitolta puhtaammaksi, ja SMS:n työn sai kunnian päättää Pekka Riiali.</p><p><br></p><p>Riiali kohahdutti yleisöä heittämälläkin yllättäen klassisen viimeisen haukensa sijasta tyylikkäät 6 pistettä pihalle. ITKK99:n hieman saamaton rypistys ei lopultakaan riittänyt ja sen laskusuhdanteessa ollut loppukausi päättyi niukkaan yhden pisteen tappioon ottelutuloksella 28-27.</p><p><br></p><p>Onnittelut pronssista, Salt Mine Slaves!</p>
Taiston Pentit liigamestaruuteen;NKL;2001-03-30;00:18:59;<p>Pelikentälle asteli itsevarma Taiston Pentit Nokia Mobile Phones, joka löi pöytään perinteisen ketjunsa ehkäpä ainoastaan Jaakko Akkasta lukuunottamatta. Vastaan asteli veitsi kurkulla ollut PikaKyykkäMetalliMiehet, joka joutui nyt siis hakemaan voittoa saadakseen mahdollisuuden kolmanteen otteluun.</p><p><br></p><p>Ensimmäinen erä pelattiin hiukan yllättävänkin huonoin tuloksin, ja molemmat joukkueet esittivät selkeästi tasoaan huonompaa peliä. Erätauolle lähdettiin TPNMP:n niukassa johdossa 22-25.</p><p><br></p><p>Toisessa erässä tahti sitten muuttui. TPNMP pisti isomman vaihteen pesään ja alkoi selvästi ratkaista ottelua. PKMM:n pyristeli parhaansa mukaan, mutta luottopelaaja Marko Parviainen epäonnistui pahassa paikassa, eikä luokatonta 8 pisteen suoritusta voisi uskoa piste-ennätyksiä sivunneen miehen heittämäksi. TPNMP sen sijaan tikkasi tasaisen tappavasti siihen tahtiin, että lopulta Tero Lintunen sai kunnian päättää kauden 11 ottelua ilman häviötä pelanneelle joukkueelle kuuluvasti\;</p><p><br></p><p>Tyhjentämällä kentän.</p><p><br></p><p>Erätulos 0-20 ja selvä lopputulos 22-45 toi siis toissakauden mestarijoukkueelle NKL:n ensimmäisen tuplamestaruuden. Hieno päätösottelu kankeasta alusta huolimatta. Liigan organisaatio ja pelaajat onnittelevat tuoretta voittajaa.</p><p><br></p><p>Onnittelut Mestaruudesta, Taiston Pentit!</p>
Kausi päättyy Gaalailtaan;NKL;2001-03-30;00:20:42;<p>Lisenssipelaajat tulevat saamaan piakkoin tiedon äänestyskäytännöstä. Palkittavia kategorioita on tänä vuonna 5 kpl:</p><p><br></p><p><i>Paras Kyykkääjä, Runkosarjan Paras, Jatkosarjan Paras, Vuoden Tulokas sekä Haukikuningas.</i></p><p><br></p><p>Lisäksi NKL:n Faniklubi palkitsee oman suosikkipelaajansa.</p><p><br></p><p>Kyseinen ammattikyykän kauden ykköstapahtuma järjestetään Lappeenrannan Ylioppilastalolla perjantaina <B>6.4.2001</B>. Päivän ohjelma on seuraava:</p><p><br></p><p><TABLE><TR><TD VALIGN=TOP>14:00</TD><TD>AllStars ottelu areenalla. Erätauolla ohjelmaa, esim nopeus-, tarkkuus- ja haukikisa.</TD></TR><TR><TD>18:00</TD><TD>VIP-tilaisuus lisenssipelaajille</TD></TR><TR><TD>19:00</TD><TD>NKL Gaala alkaa</TD></TR><TR><TD>21:00</TD><TD>Palkintojen jako</TD></TR></TABLE><br>Tilaisuudessa juhlapuku, suuret kunniamerkit.</p>
Koko sarjan tulokset hylätään;NKL;2001-04-01;00:00:00;<p>NKL:n tämän vuoden finaalipelien aikana ilmenneiden epäselvyyksien takia NKL joutuu tekemään muutamia erityisjärjestelyjä. Kauden kaikki ottelutulokset hylätään ja koko sarja pelataan uudestaan sunnuntaina 1.4. jotta tämän vuoden oikeat voittajajoukkueet saadaan selville ennen gaala-iltaa.</p><p><br></p><p>Koska otteluita on paljon, käytössä on kaksi kenttää ja päivän ohjelma alkaa aamulla kello 6. Kello 12 pidetään tunnin mittainen lounastauko ja runkosarjan ottelut saadaan päätökseen kello 21. Tämän jälkeen on jäljellä loppusarjan ottelut kello 22 alkaen ja voittaja saadaan selville joskus yöllä. Kentän valojärjestelmien takia illan ja yön pelejä jouduttaneen pelaamaan vain yhdellä kentällä. Tarkempi otteluohjelma julkistetaan paikan päällä.</p><p><br></p><p>NKL ei tässä vaiheessa tule ilmoittamaan mitä joukkueita tai keitä pelaajia tähän tilanteeseen johtanut sotku koskee. Kyseessä olevia joukkueita tai pelaajia ei tulla rankaisemaan, mutta NKL katsoi välttämättömäksi sarjan pelaamisen uudestaan kokonaisuudessaan. Mikäli joku joukkue ei osallistu sarjan uusintapeleihin, tämä tulkitaan sarjapaikasta luopumiseksi.</p>
Pelaajaäänestys alkaa;NKL;2001-04-01;00:35:45;<p>Ehdokkaat ovat seuraavat:<br><TABLE cellpadding=0 cellspacing=0 align=center><TR><TH>Vuoden Tulokas</TH></TR><TR><TD>Hämälainen Sami, OlPo</TD></TR><TR><TD>Karinen Jukka, OlPo</TD></TR><TR><TD>Lintunen Tero, TPNMP</TD></TR><TR><TD>Pesonen Jukka, PKMM</p><p><br></p><p></TD></TR><TR><TH>Runkosarjan Paras</TH></TR><TR><TD>Kuokka Mikko, ITKK99</TD></TR><TR><TD>Kuusinen Miika, KCK </TD></TR><TR><TD>Niemeläinen Jani, LMTVO</TD></TR><TR><TD>Turtiainen Tero, SMS</p><p><br></p><p></TD></TR><TR><TH>Jatkosarjan Paras</TH></TR><TR><TD>Alitalo Mika, TPNMP</TD></TR><TR><TD>Kuokka Mikko, ITKK99</TD></TR><TR><TD>Ollila Mikko, TPNMP</TD></TR><TR><TD>Parviainen Marko, PKMM</p><p><br></p><p></TD></TR><TR><TH>Paras Kyykkääjä</TH></TR><TR><TD>Kuokka Mikko, ITKK99</TD></TR><TR><TD>Parviainen Marko, PKMM</TD></TR><TR><TD>Ruottinen Saku, TPNMP</TD></TR><TR><TD>Turtiainen Tero, SMS</p><p><br></p><p></TD></TR><TR><TH>Haukikuningas</TH></TR><TR><TD>Drocan Mikko, LSD</TD></TR><TR><TD>Hämäläinen Ossi, KCK</TD></TR><TR><TD>Kokkonen Sampo, OlPo</TD></TR><TR><TD>Kämäräinen Joni, PKMM</TD></TR><br></TABLE><br>Äänestys on käynnissä ja tulokset julkistetaan Gaalaillassa 6.4.</p>
All Stars ottelun kokoonpanot;NKL;2001-04-05;13:41:12;<p>NKL All Stars ottelussa kohtaavat NKL Dream Team ja Muun maailman joukkue. Ottelu pelataan Areenalla perjantaina 6.4. klo 14:00.</p><p><br></p><p>NKL Dream Teamissa pelaavat seuraavat joukkueidensa nimeämät henkilöt:<UL><LI>Tero 'Poro' Turtiainen (SMS)<br><LI>Jani Manninen (KCK)<br><LI>Jani Niemeläinen (LMTVO)<br><LI>Jouni Ikonen (PKMM)<br><LI>Mika Alitalo (TPNMP)<br><LI>Sami Hämäläinen (OLPO)<br><LI>Riku Kemppainen(LSD)<br><LI>- (ITKK99)<br></UL>Muun maailman joukkuessa pelaavat:<UL><LI>Yrjö Hakkarainen (kL) Divarin mestari<LI>Jukka Tanninen (kL) Divarin mestari<LI>Sami Mannelin (LSD) hallituksen valinta<LI>Markku Harmaala (TPNMP) lehdistön valinta<LI>Marko Parviainen (PKMM) faniklubin valinta<LI>Ilmari Laakkonen (PKMM) faniklubin valinta<LI>Juha Varis (LMTVO) faniklubin valinta<LI>Jukka Karinen (OLPO) faniklubin valinta</UL>Ottelun erätauolla ohjelmassa nopeus, tarkkuus ja haukikisat johon osallistuu sekä pelaajia että yleisöä.</p><p><br></p><p>Ja illalla on vuorossa NKL kauden päättävä Gaalailta.</p><p><br></p><p><U>Lisää illan ohjelmasta...</U><small><sub>vanha linkki</sub></small></p>
Pelaajaäänestyksen tulokset;NKL;2001-04-08;17:42:19;<p></font><br><pre><br><b>Vuoden Tulokas</b><br>1: Hämäläinen Sami    14  35.9%<br>2: Lintunen Tero      10  25.6%<br>3: Pesonen Jukka       9  23.1%<br>4: Karinen Jukka       6  15.4%<br><br><b>Runkosarjan Paras</b><br>1: Turtiainen Tero    15  38.5%<br>2: Kuokka Mikko       12  30.8%<br>3: Kuusinen Miika      7  17.9%<br>4: Niemeläinen Jani    5  12.8%<br><br><b>Jatkosarjan Paras</b><br>1: Alitalo Mika       22  55.0%<br>2: Parviainen Marko    8  20.0%<br>3: Kuokka Mikko        6  15.0%<br>4: Ollila Mikko        4  10.0%<br><br><b>Paras Kyykkääjä</b><br>1: Ruottinen Saku     18  45.0%<br>2: Kuokka Mikko       12  30.0%<br>3: Turtiainen Tero     7  17.5%<br>4: Parviainen Marko    3   7.5%<br><br><b>Haukikuningas</b><br>1: Kokkonen Sampo     16  40.0%<br>2: Hämäläinen Ossi    13  32.5%<br>3: Drocan Mikko        7  17.5%<br>4: Kämäräinen Joni     4  10.0%<br><br>Äänestysprosentti oli 58.6%.<br></pre><br><font class=ARTIKKELI></p>
All Stars tulokset;NKL;2001-04-11;13:28:11;<p>Gaalapäivän All Stars ottelu pelattiin pehmeällä ja kostealla hiekkakentällä ja niinpä raskaalla kentällä ei nähty mitään huippupeliä. NKL Dream Team päihitti muun maailman joukkuen numeroin 59-61 (23-30).<br>Ottelun pöytäkirja:</p><p><br></p><p>All Stars:<br></FONT><PRE>Erä 1: 23<BR>Kemppainen      3 5 3 1<BR>Alitalo         1 0 2 1<BR>Hämäläinen      3 3 1 1<BR>Turtiainen      - 4 0 0 1h<br>Erä 2: 36<BR>Manninen        0 1 0 2<BR>Niemeläinen     2 2 1 2<BR>Ikonen          1 1 0 4<BR>Kemppainen      - 1 1 2 1h<BR></PRE><FONT CLASS=ARTIKKELI>Muu Maailma:</FONT><PRE>Erä 1: 30<BR>Varis           2 3 1 - 1h<BR>Laakkonen       5 3 2 0<BR>Mannelin        - - 1 0 2h<BR>Tanninen        2 5 - 0 1h<br>Erä 2: 31<BR>Karinen         2 4 0 - 1h<BR>Parviainen      3 2 3 2<BR>Harmaala        0 3 1 1<BR>Hakkarainen     1 - 1 1 1h</PRE><FONT CLASS=ARTIKKELI>Erätauolla NKL:n, divisioonan ja yleisön edustajat ottivat mittaa toisistaan tarkkuuskisassa, nopeuskisassa ja</p><p><br></p><p>Tarkkuuskisa</FONT><PRE>Pekka Jäppinen, PKMM     12 pts<BR>Yrjö Hakkarainen, kL     18 pts<BR>Mikko Ollila, TPNMP      26 pts<BR>Tiina Frestadius, yleisö 30 pts</PRE><FONT CLASS=ARTIKKELI>Nopeuskisa<br></FONT><PRE>Jukka Tanninen, kL       62 pts<BR>Teemu Hiltunen, LSD      63 pts<BR>Riku Kemppainen, LSD     75 pts<BR>Mia Lund, yleisö         98 pts</PRE><FONT CLASS=ARTIKKELI>Haukikisa<br></FONT><PRE>Jouni Ikonen, PKMM        4 pts<BR>Markku Harmaala, TPNMP   10 pts<BR>Sami Mannelin, LSD       16 pts<BR>Timo Lotila, yleisö      16 pts</PRE><FONT CLASS=ARTIKKELI>Onnittelut voittajille.</p>
Uusi kausi käynnistymässä;NKL;2001-09-05;18:34:01;<p>Kyykkäammattilaisten kesälomakausi alkaa olla päätöksessä. Kesä on perinteisesti kyykkäammattilaisten peruskuntokautta jolloin on myös totuteltu ammattilaisille kovin vieraaseen pelialustaan, hiekkaan. Tulevalla kaudella onkin, säävarauksella, odotettavissa alussa aiempaa enemmän hiekalla pelattavia pelejä.</p><p><br></p><p>Uusi hallitus on puheenjohtajansa Juha Variksen johdolla jo järjestäytynyt ja aloittanut kyykkäkauden 2002 järjestelytoimet. Odotettavissa on tänäkin vuonna jälleen tiukkaa ja armotonta taistelua tuosta ammattiurheilun arvostetuimmasta palkinnosta, TEK-maljasta. Viime kauden mestareilla TPNMP:llä ei tule olemaan helppo urakka tittelinsä puolustamisessa.</p><p><br></p><p>Pian onkin odotettavissa sekä NKL:än että rivinsä kuntoon saavien joukkueiden taholta lukematon määrä tiedotteita joiden kanssa pysyy parhaiten ajan tasalla vain seuraamalla <U>alansa johtavaa sportaalia</U><small><sub>vanha linkki</sub></small>.</p>
Tero Turtiainen KCK:n riveihin 07.09.2001, Pasi Sirèn siirtyy uusiin tehtäviin;Janne Pulli/KCK;2001-09-07;12:00:10;<p>KC Kåbnän pelaajakokous on hyväksynyt kokouksessaan 24.08.2001 tekn yo Tero Turtiaisen (s.1971) joukkueen edustuskokoonpanoon. Turtiainen siirtyy KCK:hon suomalaisen ammattikyykkäjoukkue Salt Mine Slaves:in (SMS) riveistä, jossa hän on pelannut vuodesta 1999 tähän päivään saakka pääsääntöisenä toimenkuvanaan pisteiden teko.</p><p><br></p><p>'Turtiaisen kiistattomiin vahvuuksiin kuuluu monivuotinen kokemus NKL:n joukkueissa pelaamisessa. Kyykkäuransa hän aloitti jo juniori-ikäisenä kasvattajaseuransa Olvi Team Kirves Perseitten (OTKP) riveissä, josta siirtyi moninaisten vaiheitten jälkeen SMS:n monivuotiseksi luottopelaajaksi. Eräistä kytköksistään johtuen Turtiainen tuntee jo valmiiksi KCK:n toimintamallin sekä osan organisaatiota. Luotamme hänen kykyynsä omaksua nopeasti myös kaupallisen ajattelutavan uhrautuvan kyykänpeluun lisäksi. Tätä olettamusta vahvistaa omalta osaltaan jo siirtoneuvotteluiden hankaluus sekä tähtitieteellinen hinta, mitä Poro itsestään piti. Edellämainituista asioista johtuen katsomme hänet erinomaiseksi valinnaksi vahvistamaan KCK:n rivejä tulevalla kaudella.', toteaa KC Kåbnän edustaja ilmeisen tyytyväisenä seuran uusimmasta hankinnasta.</p><p><br></p><p>'Otan KC Kåbnän pelipaidan vastaan innostuneena ja luottavaisena. Tunnen joukkueen pitkälti jo viime vuosituhannen puolelta, ja voin kertoa olevani ikionnellinen saamastani mahdollisuudesta jonka sekä kilpailukykyinen kalusto että riittävät resurssit tuovat tullessaan. Edellisen vuoden tekniikalla ei ole ennenkään mestaruuksia voitettu. Suurimmaksi huolenaiheeksi osaltani arvioinkin sen kestääkö pää uuden näkyvän roolini osana median lemmikkijoukkuetta. Harmaassa keskikastissa on ollut turvallista nukkua ruususen unta, eihän edellisillä joukkueillani ollut edes Faneja!</p><p><br></p><p>Uudet kolleegani ovat erittäin vahvan edelläkävijän maineessa, joten totuttautuminen rutiineihin saattaa kestää ensimmäisten pelien ajan. Uskon kuitenkin vankasti olevani minulle osoitetun luottamuksen arvoinen ja tuovani useita pisteitä KCK:lle jo ensimmäisellä kaudella. Onhan tämä rehellisesti sanoen ollut unelmani liki niin kauan kuin muistan.', Tero Turtiainen kertoo.</p><p><br></p><p>Turtiainen korvaa edustuskokoonpanossa Pasi SirÃ©nin, joka siirtyy uusiin haastaviin tehtäviin joukkueen välinevastaavaksi. Erään tärkeimmän joukkueen alkuvoimasta ja vimmasta vastaavan alusta asti mukana olleen pelaajan siirtyminen taka-alalle ei ole ollut kivuton prosessi joukkueen pelaajille eikä varsinkaan laajamittaiselle kannattajajoukolle, mutta on nyt toteutettu suurinta kohtuullisuutta tavoitellen.</p><p><br></p><p>Syyt Sir Paten uusiin tehtäviin ovat puhtaasti maantieteelliset.</p><p><br></p><p>SirÃ©nin voi kyllä nähdä vielä kentällä lukuisissa turnauksissa ja kutsukokoonpanoissa, mutta sarjassa hän ei alkavalla kaudella pelaa. KCK pahoittelee vilpittömästi vielä kerran faneilleen mahdollisesti aiheutuvaa mielipahaa. Kapteeni Kuusinen on luvannut antaa henkistä tukea sitä tarvitseville.</p><p><br></p><p>KC Kåbnä järjestää tiedotustilaisuuden pelaajasiirtoon sekä uudelleenorganisointeihin liittyen Areenalla perjantaina 07.09.2001 klo 18:00. Samassa tilaisuudessa joukkue ilmoittaa myös ensimmäisenä Nationaali Kyykkä Liigan joukkueena edustuskokoonpanonsa alkavalle kaudelle 2002.</p><p><br></p><p>Tilaisuudessa käyttävät puheenvuoron KCK:n kapteeni Miika Kuusinen sekä uusi pelaaja Tero Turtiainen. Tämän jälkeen tiedotusvälineiden edustajat voivat esittää kysymyksiä.</p><p><br></p><p>KC Kåbnän puolesta,</p><p><br></p><p>Janne Pulli<br>pelaaja</p>
LSD:n pelaajaneuvottelut loppusuoralla;Riku Kemppainen;2001-10-01;10:57:51;<p>Neuvottelut LSD:n pelaajista tulevalle kaudelle ovat loppusuoralla. <br>Varmoja joukkueen jättäviä pelaajia ovat Teemu Hiltunen (siirtyi OlPo:on) <br>ja Pekka Saarelainen (muutti työn ja muun elämän perässä Tampereeseen <br>luultavasti loppuiäkseen). Näin LSD:llä on tarve rekrytoida joukkueeseen <br>myös uusia pelaajia. Alustavia neuvotteluja viime kauden pelaajien (pl. <br>em. lähtijät) sekä mahdollisten uusien tulokkaiden kanssa on jo käyty, <br>ja LSD:n organisaatio on luottavainen ensi kauden kokoonpanonsa suhteen. <br>Joukkueen lopullinen kokoonpano julkaistaan heti, kun pelaajasopimukset <br>kaikkien pelaajien kanssa on allekirjoitettu.</p>
Teemu Hiltunen OlPoon;Riku Kemppainen;2001-10-01;11:00:51;<p>Kahtena viime kautena LSD:ssa ansiokkaasti pelannut Teemu Hiltunen on tehnyt sopimuksen kaudesta 2001-2002 kyykkäjoukkue OlPo:n kanssa. Sopimuksen arvoa ei ole julkistettu. Siirtoon ei Hiltusen tiedonannon mukaan liity mitään antipatioita LSD:tä kohtaan, kyse on hänen mukaansa vaihtelusta. LSD puolestaan arvelee, että Hiltunen haluaa jatkossa voittaa pelejä.</p><p><br></p><p>Hiltusen lähtö joukkueesta on LSD:lle periaatteessa menetys. Toisaalta Hiltunen olisi saamiemme tietojen mukaan pystynyt sitoutumaan joukkueeseen vain alkukaudeksi. Koska tärkeät pelit (tm) pelataan tunnetusti vasta vuodenvaihteen jälkeen, ei pelaajasiirron katsota juurikaan vaikuttavan LSD:n menestykseen tulevalla kaudella.</p><p><br></p><p>LSD toivottaa Hiltuselle hyvää jatkoa, OlPo:ssa paikkaa aloituskokoonpanossa, paljon peliaikaa ja meitä vastaan pelatessaan lukuisia haukia.</p>
Pentit uudelle aikakaudelle;Pentti;2001-10-04;11:30:47;<p>Viime kauden mestarijoukkue TPNMP vaihtaa nimeään sponsorisopimusten uudistamisen takia. Joukkueen talous- ja sijoitusvastaava kommentoi muutosta seuraavasti:</p><p><br></p><p>'Kuten yllä olevasta 'työnimestä' huomataan, Aalef-konsernin kanssa tehty sponsorisopimus on nyt allekirjoitettu ja näin ollen julkaistavissa. Neuvottelut toisen rahoittajatahon kanssa ovat vielä kesken, joten en voi kertoa tässä vaiheessa aiheesta enempää. Muutokseen on useita syitä. Katsoimme joukkueen johtoryhmän kanssa että vanhat sopimukset ovat aikansa eläneitä. Henkilökeskeiset sopimukset soveltuivat joukkueelle nuoressa ja aloittelevassa liigassa. Nyt on kuitenkin aika siirtyä eteenpäin. Koska joukkueen taloudellinen tilanne on turvattu uuden, suuren rahoittajan toimesta, pystymme nyt keskittymään oleelliseen, eli pelaamiseen. Vanhojen sopimusten lakkauttamisesta sovittiin hyvässä yhteishengessä. Tahdomme kiittää monivuotista rahoittajaamme ja tukijaamme Taistoa, jota ilman mestaruutemme tuskin olisivat olleet mahdollisia.'</p><p><br></p><p>Talousvastaava ei kuitenkaan suostu vastaamaan kysymykseen, liittyykö toisen sopimuksen keskeneräisyys matkapuhelinalan kurssien laskuun ja alkaineisiin YT-neuvotteluihin. 'Kerron sitten kun aika on sopiva'</p><p><br></p><p>Joukkue ei myöskään julkaise pelaajakokoonpanoaan vielä tässä vaiheessa syksyä.</p><p><br></p><p>Puhelimitse tavoitettu valmentaja suostuu kertomaan vain tämän verran:</p><p><br></p><p>'Joukkueen kokoonpanossa tapahtuu muutamia muutoksia tulevalle kaudelle. Fanin ei kuitenkaan ole syytä huolestua, kaikki avainpelaajat jatkavat Penttien riveissä edelleen. Uusien pelaajien kanssa on käyty neuvotteluja ja osan kanssa tehty jo sopimuskin, mutta julkaisemme sitten koko joukkueen kerralla.&quot</p><p><br></p><p>-Pentti</p>
LSD:n kokoonpano kaudelle 2002;Riku Kemppainen;2001-10-05;10:07:52;<p>Joukkueeseen kuuluvat Antti Piirainen, Jussi Kuikka, Kari Ojanen, Mia Lund, Mikko Drocan, Riku Kemppainen, Sami Mannelin, Samu Uimonen, Timo Heikka ja Ville Ruotsalainen. Kari Ojanen aloittaa kautensa muita myöhemmin ja liittyy joukkueeseen arviolta joulukuun puolivälissä. Tehdyt sopimukset ovat kiristyneen maailmanpoliittisen ja pelaajien henkilökohtaisten korkeakoulupoliittisten tilanteiden vuoksi yksivuotisia.</p><p><br></p><p>Joukkueen viime kauden pelaajista kaikki käytettävissä olevat jatkavat joukkueessa siis myös tulevalla kaudella. Uusia tulokkaita ovat Mia Lund, Samu Uimonen ja Ville Ruotsalainen. Kaikilla on kokemusta amatöörikentiltä erilaisissa olosuhteissa. Lund tuo joukkueeseen etenkin talvella tarvittavaa liukkaan kelin lähipeliosaamista. Uimonen ja Ruotsalainen puolestaan ovat vahva lisä myös mahdollisiin hiekalla pelattaviin otteluihin.</p><p><br></p><p>Kunkin pelaajan pelipaikka on vielä auki. Liigakautta edeltävät joukkueharjoitukset alkavat lokakuussa, ja harjoitusten perusteella selviää eri kentälliskombinaatioiden heittojärjestys.</p><p><br></p><p>LSD - Labra Sober Drunks</p>
